COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;GYROX;GYROY;TIMESTAMP;ES_TIMESTAMP;FUNC_ID;FUNC_VALUE;MARKER;SYNC_SIGNAL
78;0;465;4424,61538461538;4217,94871794872;4369,23076923077;4412,82051282051;4352,82051282051;4452,30769230769;4582,05128205128;4011,79487179487;4421,02564102564;4332,30769230769;4539,48717948718;4263,58974358974;4218,46153846154;5033,84615384615;1595;1739;72,058;15,0285406112671;0;0;0;0
79;0;452;4445,64102564103;4227,17948717949;4381,53846153846;4414,8717948718;4354,8717948718;4450,25641025641;4586,15384615385;4010,76923076923;4424,10256410256;4349,23076923077;4549,23076923077;4272,30769230769;4227,17948717949;5047,69230769231;1595;1739;72,066;15,0285406112671;0;0;0;0
80;0;352;4464,61538461538;4238,97435897436;4386,66666666667;4417,94871794872;4354,35897435897;4442,05128205128;4583,58974358974;4008,71794871795;4425,64102564103;4364,10256410256;4563,07692307692;4284,10256410256;4239,48717948718;5062,05128205128;1594;1739;72,075;15,0285406112671;0;0;0;0
81;0;395;4464,61538461538;4238,97435897436;4382,05128205128;4415,89743589744;4350,76923076923;4441,53846153846;4580;4009,74358974359;4422,5641025641;4375,89743589744;4572,30769230769;4289,74358974359;4247,69230769231;5068,20512820513;1595;1738;72,083;15,0285406112671;0;0;0;0
82;0;465;4446,66666666667;4229,74358974359;4375,89743589744;4411,28205128205;4351,28205128205;4447,69230769231;4582,05128205128;4008,71794871795;4424,10256410256;4381,02564102564;4572,82051282051;4291,79487179487;4245,12820512821;5061,02564102564;1593;1738;72,091;15,0285406112671;0;0;0;0
83;0;452;4422,5641025641;4222,05128205128;4369,23076923077;4408,20512820513;4354,8717948718;4452,30769230769;4587,69230769231;4008,71794871795;4423,58974358974;4375,89743589744;4573,84615384615;4290,25641025641;4235,89743589744;5049,74358974359;1594;1738;72,098;15,0285406112671;0;0;0;0
84;0;352;4400;4215,89743589744;4357,4358974359;4405,12820512821;4354,35897435897;4454,35897435897;4584,10256410256;4007,69230769231;4420,51282051282;4361,53846153846;4565,12820512821;4283,58974358974;4219,48717948718;5030,76923076923;1593;1737;72,106;15,0285406112671;0;0;0;0
85;0;395;4382,05128205128;4205,64102564103;4345,64102564103;4400;4351,79487179487;4454,35897435897;4576,41025641026;4003,07692307692;4416,92307692308;4336,92307692308;4541,53846153846;4276,41025641026;4196,41025641026;5002,5641025641;1593;1738;72,114;15,0285406112671;0;0;0;0
86;0;465;4365,12820512821;4198,97435897436;4338,97435897436;4397,4358974359;4353,84615384615;4454,35897435897;4577,94871794872;4001,02564102564;4413,84615384615;4307,69230769231;4522,5641025641;4274,35897435897;4176,92307692308;4982,05128205128;1593;1737;72,122;15,0285406112671;0;0;0;0
87;0;452;4350,76923076923;4196,92307692308;4336,41025641026;4394,35897435897;4355,89743589744;4456,41025641026;4581,53846153846;3998,97435897436;4412,30769230769;4286,66666666667;4512,82051282051;4275,89743589744;4168,20512820513;4972,30769230769;1593;1738;72,129;15,0285406112671;0;0;0;0
